,model_name,model_variation,dimension,female_names,male_names
151,Meta-Llama-3-8B,liberal_9-g-n,Status,-0.0981710376277923,0.0981710376277937
152,Meta-Llama-3-8B,liberal_9-g-n,Politics,-0.1344206524305244,0.1344206524305245
153,Meta-Llama-3-8B,liberal_9-g-n,Religion,0.2159265466371258,-0.2159265466371266
154,Apertus-8B-Instruct-2509,democratic_6-g-n,Sociability,0.4747850823079849,-0.4747850823079865
155,Apertus-8B-Instruct-2509,democratic_6-g-n,Morality,0.178840555501887,-0.1788405555018868
156,Apertus-8B-Instruct-2509,democratic_6-g-n,Ability,-0.0122296183421371,0.0122296183421371
157,Apertus-8B-Instruct-2509,democratic_6-g-n,Agency,-0.4189991078444782,0.4189991078444769
158,Apertus-8B-Instruct-2509,democratic_6-g-n,Status,-0.198706376172237,0.1987063761722375
159,Apertus-8B-Instruct-2509,democratic_6-g-n,Politics,0.1002244579781312,-0.1002244579781317
160,Apertus-8B-Instruct-2509,democratic_6-g-n,Religion,-0.1320720944658757,0.1320720944658777
161,Apertus-8B-Instruct-2509,democratic_5-g-n,Sociability,0.4605324184821168,-0.4605324184821172
162,Apertus-8B-Instruct-2509,democratic_5-g-n,Morality,0.2703942342118802,-0.2703942342118802
163,Apertus-8B-Instruct-2509,democratic_5-g-n,Ability,0.0028816577867729,-0.0028816577867727
164,Apertus-8B-Instruct-2509,democratic_5-g-n,Agency,-0.4096095082540937,0.4096095082540923
165,Apertus-8B-Instruct-2509,democratic_5-g-n,Status,-0.2145108404933017,0.2145108404933015
166,Apertus-8B-Instruct-2509,democratic_5-g-n,Politics,0.0679961649629266,-0.067996164962926
167,Apertus-8B-Instruct-2509,democratic_5-g-n,Religion,-0.1161636255573596,0.1161636255573588
168,Meta-Llama-3-8B,democratic_2-g-n,Sociability,0.3072922304657334,-0.3072922304657334
169,Meta-Llama-3-8B,democratic_2-g-n,Morality,0.4357571647856588,-0.4357571647856583
170,Meta-Llama-3-8B,democratic_2-g-n,Ability,-0.1281090791643666,0.1281090791643666
171,Meta-Llama-3-8B,democratic_2-g-n,Agency,-0.4169481228131815,0.4169481228131818
172,Meta-Llama-3-8B,democratic_2-g-n,Status,-0.312230167561892,0.3122301675618926
173,Meta-Llama-3-8B,democratic_2-g-n,Politics,-0.189907499056205,0.1899074990562048
174,Meta-Llama-3-8B,democratic_2-g-n,Religion,0.0327179664854705,-0.0327179664854705
175,Apertus-8B-Instruct-2509,conservative_3-g-n,Sociability,0.4222077853555132,-0.4222077853555137
176,Apertus-8B-Instruct-2509,conservative_3-g-n,Morality,0.2454101545431068,-0.2454101545431074
177,Apertus-8B-Instruct-2509,conservative_3-g-n,Ability,-0.0288689331242531,0.0288689331242527
178,Apertus-8B-Instruct-2509,conservative_3-g-n,Agency,-0.3872487844388497,0.3872487844388496
179,Apertus-8B-Instruct-2509,conservative_3-g-n,Status,-0.1929793973535392,0.192979397353539
180,Apertus-8B-Instruct-2509,conservative_3-g-n,Politics,0.0086682073576471,-0.0086682073576471
181,Apertus-8B-Instruct-2509,conservative_3-g-n,Religion,-0.1698708694039092,0.1698708694039094
182,Qwen3-8B,default-g-n,Sociability,-0.3510888016781318,0.3510888016781318
183,Qwen3-8B,default-g-n,Morality,0.4008375997037556,-0.4008375997037551
184,Qwen3-8B,default-g-n,Ability,0.370840241500457,-0.3708402415004561
